Date,Predicted
2000-01-11,1.8411826148093523e-05
2000-01-12,0.0001652192402360229
2000-01-13,6.172181274964137e-05
2000-01-14,7.916415469673753e-05
2000-01-18,7.79386626142787e-05
2000-01-19,3.37153683297106e-05
2000-01-20,3.3850001833704434e-07
2000-01-21,3.035667883467297e-05
2000-01-24,0.00022436915069099596
2000-01-25,0.0002477838220502155
2000-01-26,0.0003555174218420415
2000-01-27,0.0003813074346088886
2000-01-28,0.0003638509734982712
2000-01-31,3.139061340205711e-05
2000-02-01,0.0005362321346357896
2000-02-02,0.00043588370444557693
2000-02-03,0.00043903336846964094
2000-02-04,0.0004290346288671407
2000-02-07,8.31561708204349e-05
2000-02-08,2.374162231355905e-05
2000-02-09,1.438807181583211e-05
2000-02-10,8.61620137300027e-06
2000-02-11,5.024946286261851e-05
2000-02-14,0.00022567370668969864
2000-02-15,0.00010100744493530086
2000-02-16,0.00011085830447854633
2000-02-17,3.626037253086474e-05
2000-02-18,4.581473120284789e-05
2000-02-22,0.00029243460268448457
2000-02-23,0.0002947286756796727
2000-02-24,0.00038209221677858537
2000-02-25,0.0005541184625040696
2000-02-28,0.0006199092143285348
2000-02-29,0.00048826522481423834
2000-03-01,0.0004968714175439231
2000-03-02,0.000746313813743126
2000-03-03,0.0007110430706797651
2000-03-06,0.000691799625937961
2000-03-07,0.0006992453297835847
2000-03-08,0.000702418783024729
2000-03-09,0.0003416400062342882
2000-03-10,0.00022674230735125306
2000-03-13,1.4932941310827369e-05
2000-03-14,1.8233943642532135e-05
2000-03-15,3.343598053450648e-05
2000-03-16,2.879767680639723e-05
2000-03-17,0.00031006178562942207
2000-03-20,0.0003228898508381689
2000-03-21,0.0003263698897345776
2000-03-22,0.0003213490713361313
2000-03-23,0.00042713356062653294
2000-03-24,0.0001908597244367952
2000-03-27,0.00019322285103243205
2000-03-28,0.00023686403270273523
2000-03-29,0.00015965310808769336
2000-03-30,0.0001702814618024558
2000-03-31,0.0001345604689695504
2000-04-03,0.00011173939131326548
2000-04-04,8.365107404510988e-05
2000-04-05,0.00011737234798521332
2000-04-06,0.00013855228859239234
2000-04-07,9.35740643782633e-05
2000-04-10,9.409755979908985e-05
2000-04-11,2.2120516622517435e-05
2000-04-12,0.0001760499715683444
2000-04-13,0.00015710627765087534
2000-04-14,0.00014910167321162282
2000-04-17,0.0004249721089921623
2000-04-18,0.00044206124132954743
2000-04-19,0.0003402373760507427
2000-04-20,0.00034688760763979605
2000-04-24,4.3221308379079995e-05
2000-04-25,0.00021143746216619708
2000-04-26,0.0005417341893389089
2000-04-27,0.00032138659856302597
2000-04-28,0.0004287869119704032
2000-05-01,0.00041982442058820897
2000-05-02,0.00026774629998093215
2000-05-03,0.0003765926021014964
2000-05-04,0.0003491001391621205
2000-05-05,0.0002752359720678498
2000-05-08,0.00027571533291719
2000-05-09,6.453127001669399e-05
2000-05-10,1.498176124939836e-05
2000-05-11,8.54820216685957e-05
2000-05-12,0.00012884787102546995
2000-05-15,0.00017903998791647595
2000-05-16,0.00024389754965926095
2000-05-17,0.000245345778927765
2000-05-18,0.0002205417608696949
2000-05-19,0.00018951911820961603
2000-05-22,0.0001948001998173376
2000-05-23,0.0001639202776726256
2000-05-24,0.00019179559936240522
2000-05-25,0.0002231639345487776
2000-05-26,0.0002651285197058554
2000-05-30,0.00026954642619365796
2000-05-31,0.00027094077129274664
2000-06-01,5.014470552875002e-05
2000-06-02,5.833602944669984e-05
2000-06-05,1.8512947922233866e-05
2000-06-06,0.00013705490222771206
2000-06-07,0.00033178031262345246
2000-06-08,0.00022341138435506177
2000-06-09,0.0002399048241353989
2000-06-12,0.00018305471510690247
2000-06-13,0.0001527818996474523
2000-06-14,0.00013516493361627517
2000-06-15,0.00016086347679041284
2000-06-16,0.00013925937395576582
2000-06-19,0.00013312977294974404
2000-06-20,0.0001756401228973449
2000-06-21,0.0001149958956636346
2000-06-22,0.00010933368824420947
2000-06-23,6.543967340249037e-05
2000-06-26,1.693898945860699e-05
2000-06-27,3.76076046654047e-05
2000-06-28,0.00016450403106096854
2000-06-29,0.00017645567861219896
2000-06-30,0.0002201888066837455
2000-07-03,0.0003090558558679384
2000-07-05,0.0004944878984536945
2000-07-06,0.0003582477871895644
2000-07-07,1.2166503928131234e-06
2000-07-10,0.00015368349880687135
2000-07-11,5.35504733973724e-05
2000-07-12,5.155118469249461e-05
2000-07-13,4.418260775575263e-05
2000-07-14,4.393519260379734e-05
2000-07-17,6.278478400339064e-05
2000-07-18,7.271744843466243e-05
2000-07-19,6.208825823239577e-05
2000-07-20,7.993734461412644e-05
2000-07-21,0.00012361338459383118
2000-07-24,0.00011061928374068136
2000-07-25,9.926783894153762e-05
2000-07-26,0.00010927938431501004
2000-07-27,0.00010263227731787707
2000-07-28,5.963378857798849e-05
2000-07-31,4.586125002235721e-05
2000-08-01,3.587058971099078e-05
2000-08-02,0.00012528411353345296
2000-08-03,0.00016132312141267237
2000-08-04,0.00015514554252997042
2000-08-07,0.00016660182201656842
2000-08-08,0.00023388289081156135
2000-08-09,0.0005667682423411786
2000-08-10,0.0002727548537942445
2000-08-11,0.0002793102008676775
2000-08-14,0.00018869000742505467
2000-08-15,0.0001354854937356125
2000-08-16,8.885824139748019e-05
2000-08-17,8.137421619311744e-05
2000-08-18,0.0001171124493208268
2000-08-21,9.692544160774817e-05
2000-08-22,0.00010417957850629087
2000-08-23,0.00012164973701399612
2000-08-24,9.169533932088448e-05
2000-08-25,5.903249786166546e-05
2000-08-28,1.3613387785304942e-05
2000-08-29,0.00010552621785775402
2000-08-30,9.162171750635841e-05
2000-08-31,9.909142550258166e-05
2000-09-01,0.00010974931682023106
2000-09-05,0.00013765919987442386
2000-09-06,8.367802457638698e-05
2000-09-07,8.387941337521165e-05
2000-09-08,7.6284513858501e-05
2000-09-11,0.0002557506657989716
2000-09-12,0.00033153107319701413
2000-09-13,0.0003240762247853096
2000-09-14,0.0003294440708423614
